Timestamp,Landmark_Class,Object_Count
16:27:59,slow_sign,1
16:28:04,slow_sign,1
16:28:09,slow_sign,1
16:28:15,slow_sign,1
16:28:20,slow_sign,1
16:28:25,slow_sign,1
16:28:30,slow_sign,1
16:28:35,slow_sign,1
16:28:40,slow_sign,1
16:28:46,slow_sign,1
16:28:51,slow_sign,1
16:28:56,slow_sign,1
16:29:01,slow_sign,1
16:29:06,slow_sign,1
16:29:11,slow_sign,1
16:29:58,vehicle,1
16:29:58,orange,2
16:30:03,orange,2
16:30:08,orange,2
16:30:14,orange,3
16:30:19,orange,1
16:30:26,orange,1
16:30:31,orange,1
16:30:46,orange,1
16:30:51,orange,2
16:30:56,orange,2
16:31:12,orange,1
16:31:17,orange,2
16:31:32,slow_sign,1
16:31:33,fast_sign,1
16:31:38,fast_sign,1
16:32:46,tree,1
16:32:51,tree,1
16:32:56,tree,2
16:33:01,tree,2
16:33:07,tree,3
16:33:12,tree,2
16:33:18,tree,2
16:33:23,tree,2
16:34:08,vehicle,1
16:34:37,vehicle,1
16:34:42,vehicle,1
16:34:51,vehicle,1
16:34:56,vehicle,2
16:35:02,vehicle,1
16:35:08,vehicle,2
16:35:13,vehicle,2
16:35:20,vehicle,1
16:35:33,vehicle,1
16:35:36,fast_sign,1
16:35:42,fast_sign,1
16:35:50,fast_sign,1
16:36:03,stop_sign,1
16:36:09,stop_sign,1
